[Thu Feb 12 15:14:40 2026] Total Allocs: 1717 | Free Objects: 40 | Active Objects: 1677
[Thu Feb 12 15:47:06 2026] Total Allocs: 53 | Free Objects: 8 | Active Objects: 45
[Thu Feb 12 15:50:00 2026] Total Allocs: 53 | Free Objects: 8 | Active Objects: 45
[Thu Feb 12 15:51:14 2026] Total Allocs: 53 | Free Objects: 7 | Active Objects: 46
[Thu Feb 12 15:57:39 2026] Total Allocs: 1668 | Free Objects: 5 | Active Objects: 1663
[Thu Feb 12 15:57:58 2026] Total Allocs: 1669 | Free Objects: 6 | Active Objects: 1663
[Thu Feb 12 16:00:23 2026] Total Allocs: 1715 | Free Objects: 38 | Active Objects: 1677
[Thu Feb 12 16:00:31 2026] Total Allocs: 1715 | Free Objects: 38 | Active Objects: 1677
[Thu Feb 12 16:04:30 2026] Total Allocs: 1715 | Free Objects: 38 | Active Objects: 1677
[Thu Feb 12 16:05:00 2026] Total Allocs: 1715 | Free Objects: 38 | Active Objects: 1677
[Thu Feb 12 16:05:03 2026] Total Allocs: 1715 | Free Objects: 38 | Active Objects: 1677
[Thu Feb 12 16:05:25 2026] Total Allocs: 1715 | Free Objects: 38 | Active Objects: 1677
[Thu Feb 12 16:07:42 2026] Total Allocs: 1715 | Free Objects: 38 | Active Objects: 1677
[Thu Feb 12 16:21:43 2026] Total Allocs: 1715 | Free Objects: 38 | Active Objects: 1677
